Constituent Number,Company(Y|N),City,State,County Name,Postal Code,Gender
2639,0,Franklin,TN,Williamson,37067,unknown
2640,0,Franklin,TN,Williamson,37067,unknown
2641,0,Murfreesboro,TN,Rutherford,37133,unknown
2642,0,Murfreesboro,TN,Rutherford,37130,unknown
2643,0,Murfreesboro,TN,Rutherford,37130,unknown
2644,0,Murfreesboro,TN,Rutherford,37129,unknown
2645,0,Murfreesboro,TN,Rutherford,37129,unknown
2646,0,Murfreesboro,TN,Rutherford,37129,unknown
2647,0,Murfreesboro,TN,Rutherford,37129,female
2648,0,Murfreesboro,TN,Rutherford,37130,unknown
2649,0,Murfreesboro,TN,Rutherford,37130,unknown
2650,0,Franklin,TN,Williamson,37064,female
2651,0,Murfreesboro,TN,Rutherford,37127,female
2652,1,Columbia,TN,Maury,38401,unknown
2653,0,Lebanon,TN,Wilson,37087,unknown
2654,0,Lebanon,TN,Wilson,37087,unknown
2655,0,Huntsville,AL,,35802,unknown
2656,0,Murfreesboro,TN,Rutherford,37128,female
2658,0,Mt Juliet,TN,,37122,female
2659,0,South Pittsburg,TN,,37380,unknown
2660,0,Murfreesboro,TN,Rutherford,37128,female
2661,0,Murfreesboro,TN,Rutherford,37129,female
2662,0,South Elgin,IL,,60177,male
2663,0,,,,,female
2664,0,Arlington,TX,,76012,male
2665,0,Murfreesboro,TN,Rutherford,37128,female
2666,0,New Iberia,LA,,70563,female
2667,0,Houma,LA,,70363,male
2668,0,,,,,unknown
2669,0,Blytheville,AR,,72315,female
2670,0,Nashville,TN,Davidson,37221,female
2671,0,Columbia,MO,,65202,male
2672,0,Murfreesboro,TN,Rutherford,37129,male
2673,0,Murfreesboro,TN,Rutherford,37130,female
2674,0,Saint Peters,MO,,63376,female
2675,0,Saint Peters,MO,,63376,female
2677,0,,,,,female
2678,1,Rockvale,TN,Rutherford,37153,unknown
2679,0,Ocala,FL,,34481,female
2680,0,Milledgeville,GA,,31061,female
2681,0,Callahan,FL,,32011,female
2682,0,Hermitage,TN,Davidson,37076,female
2683,0,Murfreesboro,TN,Rutherford,37130,unknown
2684,0,Old Hickory,TN,Wilson,37138,female
2685,0,Murfreesboro,TN,Rutherford,37128,female
