Constituent Number,Relation Type Lookup,Company(Y|N),Constituent Number Relation,Company Relation(Y|N)
801,Spouse,0,800,0
9768,Spouse,0,9767,0
9767,Spouse,0,9768,0
8561,Employer,0,1474,1
8791,Spouse,0,8699,0
8699,Spouse,0,8791,0
59,Spouse,0,20431,0
803,Spouse,0,1634,0
1634,Spouse,0,803,0
9469,Spouse,0,9468,0
9468,Spouse,0,9469,0
11311,Spouse,0,11310,0
11310,Spouse,0,11311,0
2195,Spouse,0,2192,0
2192,Spouse,0,2195,0
21461,Spouse,0,19940,0
19940,Spouse,0,21461,0
7911,Spouse,0,7906,0
7906,Spouse,0,7911,0
8557,Employer,0,1304,1
116,Spouse,0,115,0
115,Spouse,0,116,0
6069,Spouse,0,7354,0
7396,Spouse,0,7397,0
7354,Spouse,0,6069,0
18165,Spouse,0,11237,0
4964,Spouse,0,1649,0
7397,Spouse,0,7396,0
11237,Spouse,0,18165,0
1649,Spouse,0,4964,0
4965,Spouse,0,804,0
804,Spouse,0,4965,0
805,Employer,0,1419,1
9065,Spouse,0,9066,0
118,Spouse,0,117,0
117,Spouse,0,118,0
9066,Spouse,0,9065,0
2887,Spouse,0,4966,0
3771,Spouse,0,5278,0
5278,Spouse,0,3771,0
4966,Spouse,0,2887,0
11558,Employee,1,1533,0
11558,Employee,1,16166,0
2148,Spouse,0,2149,0
2149,Spouse,0,2148,0
8537,Employer,0,143,1
5102,Spouse,0,806,0
806,Spouse,0,5102,0
1951,Spouse,0,1950,0
1950,Owned Organization,0,8235,1
1950,Employer,0,8235,1
1950,Spouse,0,1951,0
9248,Spouse,0,9247,0
9247,Spouse,0,9248,0
7405,Spouse,0,7404,0
7404,Employer,0,1519,1
7404,Spouse,0,7405,0
7404,Acknowledgment Recipient,0,12042,1
2529,Spouse,0,2528,0
2528,Spouse,0,2529,0
4220,Employer,0,1419,1
5004,Spouse,0,5003,0
5003,Spouse,0,5004,0
9140,Spouse,0,9141,0
9141,Spouse,0,9140,0
9381,Owned Organization,0,9380,1
9380,Owner,1,9381,0
808,Spouse,0,1635,0
1635,Spouse,0,808,0
49,Spouse,0,4968,0
4968,Spouse,0,49,0
9032,Spouse,0,9033,0
9670,Spouse,0,9669,0
7775,Employer,0,1519,1
7775,Acknowledgment Recipient,0,12042,1
9669,Spouse,0,9670,0
5194,Spouse,0,5193,0
9033,Spouse,0,9032,0
5193,Spouse,0,5194,0
25491,Wife,0,23982,0
23982,Husband,0,25491,0
7594,Owner,1,5530,0
2132,Spouse,0,4263,0
4263,Employer,0,1519,1
4263,Spouse,0,2132,0
4263,Acknowledgment Recipient,0,12042,1
824,Spouse,0,823,0
6385,Spouse,0,7222,0
8572,Employer,0,1349,1
5396,Spouse,0,5397,0
811,Spouse,0,120,0
816,Spouse,0,815,0
813,Spouse,0,814,0
5397,Spouse,0,5396,0
6723,Spouse,0,6724,0
6569,Spouse,0,6568,0
814,Spouse,0,813,0
814,Child,0,19346,0
815,Spouse,0,816,0
1879,Spouse,0,1878,0
19346,Mother,0,814,0
6581,Spouse,0,2053,0
1891,Spouse,0,1890,0
817,Spouse,0,818,0
1890,Spouse,0,1891,0
19317,Spouse,0,3229,0
6700,Spouse,0,9908,0
4971,Spouse,0,822,0
7222,Spouse,0,6385,0
7344,Employer,0,1301,1
2151,Spouse,0,2150,0
2446,Spouse,0,2445,0
2053,Spouse,0,6581,0
2510,Employer,0,1729,1
2510,Owned Organization,0,1729,1
2510,Spouse,0,6570,0
3229,Spouse,0,19317,0
4969,Spouse,0,1643,0
6570,Owned Organization,0,1729,1
6570,Employer,0,1729,1
6570,Spouse,0,2510,0
6701,Spouse,0,18091,0
2150,Spouse,0,2151,0
6568,Employer,0,11018,1
6568,Spouse,0,6569,0
822,Spouse,0,4971,0
6058,Spouse,0,6057,0
12671,Employer,0,1356,1
6724,Employer,0,8365,1
6724,Spouse,0,6723,0
823,Spouse,0,824,0
12058,Employer,0,1519,1
12058,Spouse,0,6951,0
12058,Acknowledgment Recipient,0,12042,1
6057,Spouse,0,6058,0
9908,Spouse,0,6700,0
120,Spouse,0,811,0
1643,Spouse,0,4969,0
