,Donation ID,Constituent Number,Received Date,Donation Amount,Thank You Letter ID,Thank You Letter,Fund Name,Campaign Name,Co-Donor Exists,DonationSize_onehundred,Recurring Donor
289,1289,1719,3/21/2015 0:00,1500,,,In Kind,2015 Special Kids Ra,0,1,1
290,1290,1719,7/15/2015 0:00,2202.97,,,In Kind,2015 In-Kind,0,1,1
291,1291,1719,12/30/2015 0:00,600,,,Macedonia,2015 Cornelius Chris,0,1,1
292,1292,1719,3/19/2016 0:00,1500,,,In Kind,2016 In Kind,0,1,1
293,1293,1719,7/20/2016 0:00,3401.5,,,In Kind,2016 In Kind,0,1,1
294,1294,1724,12/31/2011 0:00,250,,,In Kind,2011 In-Kind,0,1,1
295,1295,1724,6/20/2013 0:00,566.22,,,In Kind,2013 In Kind,0,1,1
297,1297,1724,12/31/2014 0:00,400,,,Macedonia,2014 Cornelius Chris,0,1,1
298,1298,1998,9/24/2015 0:00,145,,,In Kind,2015 In-Kind,0,1,1
299,1299,1998,2/2/2016 0:00,50,,,In Kind,2016 In Kind,0,0,1
300,1300,2054,8/30/2013 0:00,400,,,In Kind,2013 In Kind,1,1,1
301,1301,2251,4/16/2013 0:00,2500,,,In Kind,2013 Special Kids Ra,0,1,1
302,1302,2251,3/22/2014 0:00,1500,,,In Kind,2014 Special Kids Ra,0,1,1
303,1303,2251,9/27/2014 0:00,100,,,In Kind,2014 In Kind,0,0,1
304,1304,2251,3/21/2015 0:00,1500,,,In Kind,2015 Special Kids Ra,0,1,1
305,1305,2251,3/19/2016 0:00,5000,,,In Kind,2016 In Kind,0,1,1
306,1306,2251,9/22/2016 0:00,1500,,,In Kind,2016 In Kind,0,1,1
307,1307,2438,12/30/2015 0:00,700,,,Macedonia,2015 Cornelius Chris,1,1,1
308,1308,2440,3/31/2012 0:00,2000,,,In Kind,2012 Special Kids Ra,0,1,1
310,1310,2515,6/5/2013 0:00,300,,,In Kind,2013 Golf Classic,0,1,1
314,1314,2689,12/31/2011 0:00,250,,,In Kind,2011 In-Kind,1,1,1
316,1316,2987,12/31/2011 0:00,250,,,In Kind,2011 In-Kind,0,1,1
317,1317,3029,9/4/2014 0:00,80,,,Friendraiser Banquet,2014 In Kind,0,0,1
318,1318,3105,12/31/2011 0:00,250,,,In Kind,2011 In-Kind,0,1,1
320,1320,3105,12/30/2014 0:00,35,,,In Kind,2014 In Kind,0,0,1
321,1321,3105,12/31/2014 0:00,600,,,Macedonia,2014 Cornelius Chris,0,1,1
322,1322,3235,1/13/2016 0:00,50,,,In Kind,2015 In-Kind,0,0,1
323,1323,3281,12/19/2013 0:00,400,,,In Kind,2014 In Kind,0,1,1
324,1324,3409,4/26/2011 0:00,250,,,In Kind,2011 In-Kind,1,1,1
326,1326,3645,4/2/2012 0:00,400,,,In Kind,2012 Annual Campaign,1,1,1
327,1327,3772,12/31/2014 0:00,500,,,Macedonia,2014 Cornelius Chris,0,1,1
328,1328,3772,12/29/2015 0:00,600,,,Macedonia,2015 Cornelius Chris,0,1,1
329,1329,3982,5/2/2013 0:00,225,,,In Kind,2013 In Kind,1,1,1
330,1330,2881,9/24/2015 0:00,155,,,In Kind,2015 In-Kind,1,1,1
331,1331,4162,12/14/2012 0:00,4000,,,In Kind,2012 In Kind,0,1,1
332,1332,4236,12/30/2015 0:00,1000,,,Macedonia,2015 Cornelius Chris,1,1,1
333,1333,4884,12/30/2015 0:00,100,,,Macedonia,2015 Cornelius Chris,1,0,1
